Name_XRB	RA	DEC	L_X_2_10	Satellite	Name_Host	RA_Host	DEC_Host	a26	b/a	PA	Morphology	Distance	SFR	Stellar_Mass
2CXO J141257.7-651940	14h12m57.7107s	-65d19m40.97s	1.51e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141259.3-651958	14h12m59.3813s	-65d19m58.5139s	6.18e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141303.1-652043	14h13m03.1699s	-65d20m43.287s	2.50e+37	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141303.6-652039	14h13m03.6427s	-65d20m39.6488s	3.64e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141304.8-651909	14h13m04.8379s	-65d19m09.1752s	2.26e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141305.3-652223	14h13m05.3858s	-65d22m23.0049s	9.94e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141307.8-651940	14h13m07.8018s	-65d19m40.3828s	3.67e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141308.9-652123	14h13m08.9908s	-65d21m23.8472s	1.31e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141309.0-651949	14h13m09.0814s	-65d19m49.9783s	1.01e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141309.3-651906	14h13m09.3409s	-65d19m06.233s	2.00e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141302.9-652139	14h13m02.9826s	-65d21m39.4936s	6.17e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141309.6-651955	14h13m09.653s	-65d19m55.7211s	3.04e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141309.9-652124	14h13m09.9073s	-65d21m24.6301s	3.93e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141310.1-652001	14h13m10.1419s	-65d20m01.9366s	1.72e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141311.1-652210	14h13m11.1205s	-65d22m10.1178s	4.55e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141311.2-652018	14h13m11.2464s	-65d20m18.3893s	7.63e+37	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141311.7-652020	14h13m11.7001s	-65d20m20.6139s	1.10e+37	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141311.7-652211	14h13m11.7317s	-65d22m11.7939s	7.11e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141301.7-652008	14h13m01.7615s	-65d20m08.5862s	4.55e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141312.0-652024	14h13m12.0546s	-65d20m24.4285s	2.68e+38	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141309.6-652211	14h13m09.6075s	-65d22m11.0916s	8.91e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141312.1-652013	14h13m12.139s	-65d20m13.9451s	2.01e+39	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141312.0-652130	14h13m12.0837s	-65d21m30.3851s	1.15e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141314.3-652002	14h13m14.308s	-65d20m02.2387s	3.56e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141316.5-652103	14h13m16.5895s	-65d21m03.4305s	1.17e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141317.4-652134	14h13m17.4727s	-65d21m34.7913s	8.45e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141319.9-652042	14h13m19.9129s	-65d20m42.6023s	1.56e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141320.8-652057	14h13m20.8068s	-65d20m57.4365s	1.83e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141321.3-652048	14h13m21.3703s	-65d20m48.3039s	3.38e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141321.6-652118	14h13m21.6138s	-65d21m18.5226s	4.90e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141325.1-651918	14h13m25.1286s	-65d19m18.027s	1.39e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141325.9-652029	14h13m25.9744s	-65d20m29.9283s	1.47e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141327.4-651959	14h13m27.4268s	-65d19m59.2418s	1.02e+37	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141330.7-652029	14h13m30.7818s	-65d20m29.9408s	2.26e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141312.1-652007	14h13m12.1799s	-65d20m07.0587s	3.35e+38	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2SXPS J141311.5-652023	14h13m11.58s	-65d20m23.28s	9.73e+38	S	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
4XMM J141302.6-652203	14h13m02.6202s	-65d22m03.8533s	3.62e+38	X	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
4XMM J141313.1-652012	14h13m13.1178s	-65d20m12.0192s	5.24e+38	X	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141312.5-652052	14h13m12.5228s	-65d20m52.5129s	2.25e+38	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J141300.2-652155	14h13m00.2197s	-65d21m55.2396s	2.77e+36	C	CIRCINUS	14h13m09.3s	-65d20m21s	6.92	0.43	0	3.0	4.2	1.10e+00	8.73e+10
2CXO J130617.6+674312	13h06m17.6946s	+67d43m12.3813s	1.42e+37	C	DDO165	13h06m26.8s	+67d42m15s	4.07	0.54	0	9.0	4.83	2.19e-02	5.86e+07
2CXO J130631.9+674128	13h06m31.9308s	+67d41m28.0135s	3.06e+37	C	DDO165	13h06m26.8s	+67d42m15s	4.07	0.54	0	9.0	4.83	2.19e-02	5.86e+07
2CXO J130632.6+674314	13h06m32.6675s	+67d43m14.2719s	4.92e+36	C	DDO165	13h06m26.8s	+67d42m15s	4.07	0.54	0	9.0	4.83	2.19e-02	5.86e+07
2SXPS J025652.7-543341	02h56m52.7136s	-54d33m41.616s	1.05e+38	S	ESO154-023	02h56m50.4s	-54d34m23s	8.32	0.18	39	8.0	5.86	6.82e-02	4.02e+08
4XMM J025652.3-543346	02h56m52.3541s	-54d33m46.0459s	7.81e+37	X	ESO154-023	02h56m50.4s	-54d34m23s	8.32	0.18	39	8.0	5.86	6.82e-02	4.02e+08
