# A new X-ray bound on primordial black holes density
# Upper limits on the abundances of PBHs based on existing X-ray data
# Please refer to Inoue & Kusenko 2017 (arXiv:1705.00791), if you use the data below.
# https://arxiv.org/abs/1705.00791
# 1st Col: PBH Mass (M_sun)
# 2nd Col: Omega_PBH / Omega_DM (f_{DM, disk} = 0.00)
# 3rd Col: Omega_PBH / Omega_DM (f_{DM, disk} = 0.25)
# 4th Col: Omega_PBH / Omega_DM (f_{DM, disk} = 1.00)

0.01  1 1 1
0.0109  1 1 1
0.0118  1 1 1
0.0129  1 1 1
0.014  1 1 1
0.0153  1 1 1
0.0166  1 1 1
0.0181  1 1 1
0.0196  1 1 1
0.0214  1 1 1
0.0233  1 1 1
0.0253  1 1 1
0.0275  1 1 1
0.03  1 1 1
0.0326  1 1 1
0.0355  1 1 1
0.0386  1 1 1
0.042  1 1 1
0.0457  1 1 1
0.0497  1 1 1
0.0541  1 1 1
0.0589  1 1 1
0.0641  1 1 1
0.0697  1 1 1
0.0759  1 1 1
0.0825  1 1 1
0.0898  1 1 1
0.0977  1 1 1
0.106  1 1 1
0.116  1 1 1
0.126  1 1 1
0.137  1 1 1
0.149  1 1 1
0.162  1 1 1
0.176  1 1 1
0.192  1 1 1
0.209  1 1 1
0.227  1 1 1
0.247  1 1 1
0.269  1 1 1
0.293  1 1 1
0.319  1 1 1
0.347  1 1 1
0.377  1 1 1
0.411  1 1 1
0.447  1 1 1
0.486  1 1 1
0.529  1 1 1
0.575  1 1 1
0.626  1 1 1
0.681  1 1 1
0.741  1 1 1
0.807  1 1 1
0.878  1 1 1
0.955  1 1 1
1.04  1 1 1
1.13  1 1 1
1.23  1 1 1
1.34  1 1 1
1.46  1 1 1
1.58  1 1 1
1.72  1 1 1
1.88  1 1 1
2.04  1 1 1
2.22  1 1 0.937
2.42  1 1 0.798
2.63  1 1 0.681
2.86  1 1 0.582
3.11  1 1 0.497
3.39  1 1 0.426
3.69  1 1 0.365
4.01  1 1 0.313
4.37  1 0.964 0.268
4.75  1 0.828 0.23
5.17  1 0.711 0.198
5.62  1 0.611 0.17
6.12  1 0.525 0.146
6.66  1 0.452 0.126
7.24  1 0.389 0.108
7.88  1 0.335 0.0931
8.58  1 0.288 0.0802
9.33  1 0.248 0.0691
10.2  1 0.214 0.0596
11  1 0.185 0.0514
12  1 0.159 0.0443
13.1  1 0.137 0.0382
14.2  0.874 0.119 0.033
15.5  0.754 0.102 0.0285
16.9  0.658 0.0893 0.0249
18.3  0.592 0.0805 0.0224
20  0.533 0.0724 0.0201
21.7  0.473 0.0643 0.0179
23.6  0.429 0.0585 0.0163
25.7  0.394 0.0539 0.015
28  0.364 0.0501 0.014
30.4  0.339 0.0468 0.0131
33.1  0.317 0.0432 0.012
36  0.274 0.0371 0.0103
39.2  0.241 0.0327 0.00911
42.7  0.217 0.0296 0.00824
46.4  0.198 0.0272 0.00757
50.5  0.183 0.0252 0.00702
55  0.17 0.0235 0.00655
59.8  0.158 0.022 0.00614
65.1  0.148 0.0207 0.00578
70.8  0.139 0.0196 0.00547
77  0.131 0.0185 0.00519
83.8  0.124 0.0171 0.00475
91.2  0.114 0.0157 0.00436
99.2  0.105 0.0145 0.00404
108  0.0975 0.0135 0.00377
117  0.0907 0.0127 0.00353
128  0.0848 0.0119 0.00332
139  0.0795 0.0112 0.00314
151  0.0747 0.0106 0.00297
165  0.0703 0.0101 0.00283
179  0.0664 0.0096 0.00269
195  0.0627 0.00915 0.00257
212  0.0593 0.00874 0.00246
231  0.0562 0.00837 0.00235
251  0.0533 0.00802 0.00226
273  0.0505 0.0077 0.00217
297  0.048 0.0074 0.00208
324  0.0456 0.00698 0.00195
352  0.0433 0.00656 0.00184
383  0.0412 0.00619 0.00173
417  0.0391 0.00586 0.00164
454  0.0371 0.00555 0.00156
494  0.0353 0.00528 0.00148
537  0.0336 0.00503 0.00142
584  0.0318 0.0048 0.00135
636  0.0301 0.00459 0.0013
692  0.0284 0.0044 0.00124
753  0.0269 0.00422 0.00119
819  0.0255 0.00405 0.00115
891  0.0241 0.00389 0.00111
970  0.0228 0.00374 0.00107
1.06e+03  0.0216 0.0036 0.00103
1.15e+03  0.0205 0.00347 0.000995
1.25e+03  0.0194 0.00336 0.000965
1.36e+03  0.0185 0.00326 0.000931
1.48e+03  0.0176 0.00272 0.000759
1.61e+03  0.0162 0.00222 0.000619
1.75e+03  0.0133 0.00182 0.000508
1.91e+03  0.0111 0.00153 0.000428
2.07e+03  0.00954 0.00132 0.000368
2.26e+03  0.00831 0.00115 0.000322
2.45e+03  0.00732 0.00102 0.000285
2.67e+03  0.00652 0.000915 0.000256
2.91e+03  0.00585 0.000827 0.000231
3.16e+03  0.00528 0.000753 0.000211
3.44e+03  0.00479 0.000689 0.000193
3.74e+03  0.00437 0.000635 0.000178
4.07e+03  0.004 0.000587 0.000165
4.43e+03  0.00367 0.000545 0.000153
4.82e+03  0.00338 0.000508 0.000143
5.25e+03  0.00311 0.000475 0.000134
5.71e+03  0.00288 0.000445 0.000126
6.21e+03  0.00266 0.000419 0.000119
6.76e+03  0.00247 0.000395 0.000112
7.36e+03  0.00229 0.000373 0.000106
8e+03  0.00213 0.000353 0.000101
8.71e+03  0.00198 0.000334 9.57e-05
9.48e+03  0.00184 0.000318 9.13e-05
1.03e+04  0.00172 0.000303 8.74e-05
1.12e+04  0.00161 0.000291 8.41e-05
1.22e+04  0.00151 0.000279 8.12e-05
1.33e+04  0.00141 0.00027 7.87e-05
1.45e+04  0.00133 0.000261 7.66e-05
1.57e+04  0.00125 0.000254 7.49e-05
1.71e+04  0.00118 0.000248 7.35e-05
1.86e+04  0.00112 0.000243 7.26e-05
2.03e+04  0.00106 0.000239 7.19e-05
2.2e+04  0.00101 0.000236 7.16e-05
2.4e+04  0.000959 0.000234 7.16e-05
2.61e+04  0.000914 0.000233 7.2e-05
