Name_XRB	RA	DEC	L_X_2_10	Satellite	Name_Host	RA_Host	DEC_Host	D25	b/a	PA	Morphology	Distance	SFR	Stellar_Mass	Galaxy_Catalog
2CXO J000311.6+160846	00h03m11.6277s	+16d08m46.1155s	3.557e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000308.1+161017	00h03m08.1444s	+16d10m17.7356s	3.627e+38	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000311.5+160920	00h03m11.5928s	+16d09m20.6325s	1.861e+38	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000318.0+160818	00h03m18.0103s	+16d08m18.7507s	4.695e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000312.2+160917	00h03m12.2975s	+16d09m17.3358s	7.277e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000321.3+160655	00h03m21.3383s	+16d06m55.4768s	2.623e+38	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000312.1+160749	00h03m12.1977s	+16d07m49.7064s	7.727e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000308.9+161000	00h03m08.9933s	+16d10m00.2408s	6.361e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000314.1+160842	00h03m14.1265s	+16d08m42.0655s	9.602e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
2CXO J000314.7+160918	00h03m14.7731s	+16d09m18.3689s	7.340e+37	C	NGC 7814	00h03m14.89s	+16d08m43.5s	5.495e+00	0.417	135	2.0	15.03883938986863	1.647e-01		IRAS
